Acum,Coef,10360002-2,11536003-5,07371002-2,02942001-7,01201010-9,05530005-4,05200006-8,09140002-2,04323007-7,01051004-K,02105031-8,07355007-6,10903003-1,10900002-7,08220006-1,08358002-K,05716004-7,10322002-5,02710003-1,05730013-2,01611002-7,01310018-7,07320002-4,05120003-9,02020002-2,02105018-0,01310019-5,12803000-K,10401002-4,11513001-3,12806004-9,12878002-5,02710002-3,06042004-1,01300007-7,12587000-7,04506006-3,11034001-K,07350006-0,07350007-9,08134006-4,02810001-9,04810003-1,02110013-7,10423000-8,03340001-2,11546001-3,05733007-4,08105005-8,02500017-K,12816001-9,01611001-9,05730015-9,05404001-6,08117009-6,12586009-5,06008009-7,08135004-3,01042001-6,11704001-1,08821005-0,03701001-4,01001005-5,08105004-K,09151001-4,08520000-3,04513004-5,01501001-0,05740004-8,05520001-7,12400001-7,10410015-5,02105021-0,10901002-2,10901004-9,10141001-3,05421005-1,10305002-2,02020001-4,01300006-9,06013006-K,05748003-3,04410001-0,05730012-4,12284010-7,05510005-5,01740002-9,08317003-4,12283001-2,12586006-0,09129004-9,12802002-0,04511004-4,08394006-9,01410011-3,05220006-7,10683001-0,10683003-7,05101006-K,09420004-0,10904005-3,09130001-K,01720006-2,01030003-7,11521002-5,08117003-7,08117002-9,08133003-4,05100007-2,02104010-K,09116002-1,08123004-8,10901003-0,01020018-0,01020016-4,01010010-0,01010009-7,01010007-0,01730020-2,11144002-6,06044001-8,04313003-K,01410012-1,08141002-K,04531003-5,04535001-0,08113001-9,04711003-3,07358008-0,01041003-7,01080002-1,05741002-7,08351003-K,07378003-9,06012003-K,04532006-5,10106001-2,03802005-6,03802006-4,08410001-3,08410002-1,02104008-8,02104009-6,02104007-K,07384002-3,08822008-0,06034003-K,01300010-7,01770001-4,03450004-5,01700009-8,12449002-2,01020014-8,02112009-K,01050007-9,11316004-7,11317005-0,11316003-9,10906004-6,04900002-2,09403001-3,04703003-K,02105014-8,09122001-6,08700001-K,09412002-0,07118003-4,01502006-7,01050009-5,08210002-4,07331002-4,08130006-2,03940001-4,08324001-6,07336003-K,11318002-1,01310022-5,05424005-8,03804006-5,07376002-K,07373003-1,10312001-2,04515004-6,07104005-4,06130001-5,08341003-5,04900004-9,03804005-7,05100004-8,05111004-8,05100006-4,05414005-3,02105022-9,04537003-8,03604001-7,03806002-3,04120001-4,08358003-8,05717008-5,05703008-9,03431004-1,08313002-4,08312002-9,08343002-8,01041004-5,08353001-4,02240001-0,01700008-K,01502007-5,11300001-5,04502003-7,12283002-0,11533001-2,05722001-5,08210003-2,06011001-8,08393002-0,08220008-8,08700003-6,05411001-4,05746001-6,04810001-5,08366002-3,05320001-K,05423013-3,05721001-K,05721017-6,12210000-6,12080001-9,11800000-5,12000000-4,09135004-1,09135002-5,09135003-3,03825004-3,10350001-K,05111002-1,10410004-K,08130003-8,08131002-5,07381002-7,07370001-9,05733010-4,05800002-7,05737008-4,04334001-8,10323002-0,09113003-3,08124003-5,12273000-K,06003004-9,06001000-5,11706000-4,05702011-3,12288000-1,06023000-5,06011003-4,01021007-0,07200001-3,02113005-2,02500028-5,07314002-1,05110003-4,02105037-7,07355006-8,10610001-2,04306002-3,07374005-3,01700010-1,03826003-0,03826002-2,01042002-4,05732002-8,05732001-K,07342002-4,10137002-K,04723002-0,01200003-0,04502005-3,05744003-1,03414002-2,04726003-5,04726004-3,02640001-5,02103010-4,04901002-8,01820001-5,01020013-K,12449001-4,11180000-6,05415004-0,03404002-8,07353001-6,03804007-3,03801002-6,04302014-5,12583001-3,09114001-2,06036001-4,04732001-1,09421001-1,05200005-K,03823004-2,04502004-5,05723001-0,10410005-8,05720003-0,07340002-3,11041001-8,04301005-0,05200007-6,05710007-9,04311005-5,06130003-1,04554003-0,08105003-1,06027003-1,04335002-1,07352002-9,11143003-9,04552002-1,04710001-1,05210002-K,12402000-K,12875000-2,09417001-K,11540000-2,10106002-0,10430001-4,10430005-7,12879000-4,12280004-0,10701001-7,11517002-3,11523002-6,11521005-K,12287002-2,10304002-7,12930002-7,10103001-6,11702000-2,12280006-7,12582003-4,12283003-9,05510002-0,10307001-5,10111002-8,12284009-3,09416002-2,11031001-3,05716005-5,05716011-K,12283004-7,07120002-7,05310001-5,06000004-2,06013008-6,12586005-2,08350002-6,11440000-9,05530003-8,01730018-0,08367001-0,08364001-4,04501004-K,04721002-K,05422002-2,05120004-7,08124004-3,01202011-2,07374006-1,05701005-3,09104003-4,12586007-9,05220007-5,05500001-8,05211004-1,04511003-6,05500003-4,08130004-6,03210001-5,09124001-7,03430006-2,12585003-0,02101003-0,10106003-9,02240000-2,07352003-7,04716005-7,07358007-2,02105016-4,10102002-9,06055003-4,08301001-0,09414002-1,10512000-1,10123004-K,10405004-2,05427006-2,01211006-5,07301000-4,05425003-7,06042003-3,10130001-3,05120006-3,08304004-1,07119007-2,05410007-8,08334002-9,05427007-0,05221006-2,04902002-3,07301001-2,05747001-1,07340003-1,09404002-7,03430007-0,04520005-1,04311004-7,05744002-3,07103003-2,03802004-8,04820001-K,09102003-3,12586010-9,05707003-K,04715002-7,09120003-1,05745001-0,01750003-1,03421004-7,08142001-7,09120002-3,11043001-9,07321001-1,10417001-3,08124005-1,05740005-6,07357003-4,01502009-1,01201011-7,06018010-5,08118003-2,05211003-3,04730004-5,01010008-9,01730019-9,04331004-6,12680001-0,04314003-5,07116004-1,04524001-0,10451000-0,02660001-4,08332002-8,01300004-2,05100003-K,06132002-4,11302002-4,07341002-9,08135003-5,12540001-9,09417002-8,02103009-0,02000001-5,12815001-3,10363004-5,04551005-0,04551004-2,04501003-1,01202009-0,04314008-6,10704001-3,04540006-9,05111001-3,12876003-2,01730015-6,01730016-4,04400002-4,06034004-8,01740001-0,01020015-6,01020017-2,08358005-4,07345001-2,02103008-2,02300000-8,02450000-4,03441001-1,05101005-1,04515005-4,02500020-K,10432004-K,08132002-0,04610001-8,05737006-8,07381003-5,12620000-5,09112000-3,04503003-2,06019005-4,06120001-0,08330002-7,10100004-4,10100005-2,05711003-1,04311003-9,08358004-6,06013005-1,01730017-2,01300005-0,08140005-9,12809001-0,07116005-K,01720004-6,04321001-7,09420002-4,09129005-7,10523001-K,11342002-2,11553002-K,10710001-6,11400001-9,11147003-0,12125001-2,11523001-8,11511001-2,10425001-7,12293001-7,12930004-3,11120001-7,09153001-5,12930005-1,12820002-9,09412003-9,01610003-K,04555001-K,12586004-4,04523004-K,01110001-5,10355001-7,01202012-0,01202010-4,07210001-8,01610004-8,01730007-5,05427008-9,02210003-3,02240003-7,01770002-2,05730039-6,04902004-K,02760000-K,02240004-5,02650002-8,02900001-8,02240005-3,02240002-9,05730014-0,05730008-6,04902005-8,02943003-9,09404003-5,07335004-2,10902002-8,04900003-0,05701008-8,10900001-9,08318002-1,04902003-1,02112008-1,08316001-2,09111002-4,05426004-0,02102005-2,08000000-6,09433003-3,08140001-6,10363003-7,04515007-0,06010015-2,06010014-4,06130002-3,04522003-6,09123002-K,04506007-1,06015003-6,05414004-5,05403006-1,05733006-6,05410002-7,05403002-9,05423003-6,05410005-1,05200001-7,09404001-9,09402001-8,07355002-5,05716001-2,11342001-4,12825002-6,11536004-3,12825003-4,08307002-1,08334001-0,08394001-8,08317004-2,08319001-9,08317005-0,08317001-8,11310003-6,10683002-9,06003001-4,06019003-8,10304001-9,12820001-0,10122003-6,01502008-3,01044001-7,01201005-2,03814003-5,09140001-4,09129002-2,09123001-1,04712001-2,08117006-1,04703002-1,04711001-7,09116001-3,07306001-K,11140001-6,06027001-5,06013001-9,07379002-6,04314002-7,07320003-2,11536001-9,04530001-3,04531002-7,01050004-4,11541000-8,05705001-2,03802001-3,12821000-8,03431001-7,03430003-8,04704001-9,09405001-4,08700002-8,01020002-4,08130002-K,08323001-0,04320001-1,10110002-2,11420000-K,10355003-3,10100002-8,10704002-1,02510007-7,12448001-9,04511002-8,12876001-6,01021002-K,03820001-1,02113001-K,08316002-0,11505001-K,04726001-9,04723001-2,04721001-1,08141001-1,05401003-6,08381003-3,08380001-1,12284006-9,06000003-4,12586001-K,08821006-9,10133000-1,10313001-8,01201003-6,02101001-4,02104002-9,07359001-9,07350001-K,05748001-7,05710001-K,05701009-6,05704002-5,08351001-3,05722002-3,05722007-4,05737002-5,07123001-5,07321002-K,07383001-K,07303000-5,11700001-K,07317005-2,07317001-K,08343001-K,05720001-4,11532000-9,10354001-1,10356001-2,08106002-9,05706001-8,12280002-4,07115001-1,06006001-0,11711000-1,12622001-4,12452002-9,12452001-0,07330001-0,05110002-6,10328001-K,10520001-3,03414001-4,12125002-0,09101001-1,05414001-0,10344003-3,10340001-5,12286002-7,12930001-9,12600001-4,02105001-6,02105002-4,05721016-8,12582001-8,10113003-7,08104001-K,12289001-5,12802001-2,02103014-7,11317001-8,05100001-3,12271000-9,07104002-K,01300009-3,12288003-6,06028001-0,09423001-2,09437002-7,04302001-3,12400003-3,09400000-9,04308001-6,12454001-1,05702001-6,04308003-2,12930003-5,12440001-5,05510001-2,12400002-5,05733008-2,10340002-3,12873001-K,01750002-3,02105020-2,04557001-0,04711004-1,03023000-0,01051003-1,04503002-4,08118004-0,04713004-2,05704005-K,05530002-K,08319002-7,08118007-5,08106003-7,05410008-6,03815004-9,06016004-K,05704004-1,12530001-4,07359005-1,05704006-8,08333002-3,10134002-3,12582002-6,08130007-0,08320001-4,07332003-8,02510006-9,02103007-4,07373004-K,12863001-5,07358006-4,03820004-6,05120005-5,07106007-1,04722001-7,06010016-0,12876002-4,12403000-5,02700001-0,02960001-5,02105019-9,02103012-0,01050010-9,02500019-6,04540005-0,02943002-0,02943001-2,02500021-8,05737007-6,07378004-7,07378002-0,05520002-5,04512002-3,09129006-5,12640001-2,09438001-4,05730016-7,01300008-5,05733009-0,08930000-2,02500016-1,02500027-7,02500025-0,02500026-9,02500015-3,02105017-2,02210002-5,09122003-2,09439001-K,03412001-3,12286001-9,09105002-1,09101003-8,02111004-3,09401001-2,10371001-4,08122002-6,08122003-4,04513003-7,02105015-6,07337002-7,01310021-7,01080001-3,01410013-K,02900000-K,10123005-8,10123006-6,05221005-4,05706003-4,11023001-K,03823003-4,03823002-6,05510007-1,02941001-1,10372001-K,04320003-8,07374004-5,09131002-3,05410006-K,11033001-4,06040001-6,11503001-9,01200002-2,11304001-7,11701002-3,11307002-1,07121003-0,11023002-8,12622002-2,09420003-2,06018009-1,01000005-K
1,alpha_1,1.618,2.906,0.875,NA,1.903,NA,NA,1.711,NA,2.833,2.376,0.463,2.832,3.673,0.91,0.773,NA,2.257,NA,NA,1.832,6.24,0.348,NA,1.446,0.792,NA,2.36,2.228,2.777,1.88,4.172,NA,NA,1.22,4.208,NA,2.841,0.596,0.826,1.178,1.244,NA,NA,2.823,NA,5.2,NA,0.75,0.327,2.203,0.633,1.26,1.188,0.599,4.817,0.247,1.095,2.281,2.477,1.548,NA,2.328,0.782,2.119,2.805,NA,2.804,NA,NA,1.474,2.571,0.564,2.333,2.675,1.131,NA,2.142,1.353,1.155,0.398,NA,NA,0.445,1.335,3.493,0.567,1.388,1.418,5.447,2.319,1.953,0.918,1.705,NA,NA,3.924,4.044,NA,1.559,2.497,2.007,0.943,3.405,1.282,0.788,0.734,0.599,2.637,1.254,1.739,0.595,4.062,10.645,3.395,4.403,12.092,3.097,0.784,2.464,NA,NA,0.6,0.523,NA,NA,0.756,NA,0.33,1.787,2.24,NA,1.389,0.269,NA,NA,2.312,NA,NA,0.918,1.518,1.055,0.938,0.846,0.35,1.167,NA,2.754,0.783,NA,1.625,2.825,7.202,NA,2.402,1.3,2.448,2.055,3.226,NA,1.383,NA,0.53,1.413,1.877,2.146,0.458,NA,2.321,1.271,0.958,1.002,NA,1.588,0.862,2.538,NA,NA,NA,0.514,0.339,1.679,NA,0.589,NA,2.449,NA,NA,2.023,NA,NA,NA,0.773,NA,NA,NA,NA,0.903,NA,0.957,NA,1.92,1.455,1.275,1.375,1.923,NA,NA,1.039,0.956,NA,5.403,0.608,1.337,0.992,0.518,0.979,1.381,2.167,2.651,NA,NA,0.74,NA,NA,0.682,1.386,12.663,7.899,5.013,13.816,1.983,1.983,1.424,NA,2.248,NA,1.873,0.882,0.874,0.918,0.751,NA,NA,NA,NA,3.233,1.064,1.055,7.71,0.685,0.792,4.155,2.589,7.283,1.071,NA,2.898,0.932,0.408,1.486,1.316,NA,2.283,0.605,2.877,NA,0.694,NA,NA,NA,1.911,5.656,NA,0.808,1.426,NA,2.927,NA,NA,NA,NA,NA,1.497,1.191,NA,NA,12.689,2.342,5.509,NA,1.062,0.797,NA,2.284,NA,6.662,1.429,0.691,NA,2.666,2.166,NA,NA,2.441,2.649,0.88,1.835,3.397,1.291,NA,0.559,NA,0.515,NA,1.353,0.249,1.538,0.636,2.446,NA,0.113,NA,6.699,3.727,1.949,3.533,1.983,3.053,2.929,5.75,3.479,1.976,2.807,2.227,1.766,5.396,1.867,5.101,2.471,3.63,3.736,4.766,5.337,0.597,1.891,1.643,3.269,3.009,2.179,NA,0.687,2.17,0.969,NA,0.438,0.855,2.628,2.239,4.928,NA,1.725,0.433,1.28,0.69,NA,NA,NA,1.71,5.34,0.588,0.569,2.016,3.008,0.795,NA,NA,NA,NA,1.053,NA,1.77,NA,3.809,0.888,2.351,NA,0.559,NA,0.698,0.684,1.186,NA,1.619,2.426,2.056,1.58,2.904,NA,NA,1.238,NA,0.903,2.105,NA,2.045,0.499,NA,0.726,NA,NA,NA,0.866,NA,0.964,1.862,NA,1.331,NA,NA,0.253,1.02,NA,1.015,5.875,0.425,1.112,2.74,NA,0.712,NA,0.995,2.965,3.31,0.512,2.062,0.947,NA,0.819,NA,4.103,NA,1.255,NA,NA,10.658,0.316,1.562,2.59,NA,0.443,NA,2.186,1.259,1.551,3.485,1.493,NA,1.563,0.959,0.721,1.986,2.679,1.099,1.272,2.066,2.588,NA,NA,NA,3.762,2.496,1.802,NA,NA,2.215,4.211,3.53,NA,1.656,1.061,11.927,4.954,1.192,0.62,0.646,1.381,1.53,NA,0.324,NA,0.882,3.231,1.409,NA,1.286,0.521,5.858,3.485,NA,NA,0.458,1.674,1.175,1.576,NA,NA,1.922,NA,0.799,6.766,0.935,1.974,0.645,4.044,NA,2.551,2.06,2.551,3.513,3.422,2.84,3.468,3.135,10.097,2.231,1.41,2.21,3.028,4.627,4.347,2.019,3.718,5.252,2.015,3.826,NA,2.351,NA,3.515,1.822,1.587,1.982,1.067,1.804,1.259,NA,NA,NA,2.05,1.075,NA,NA,NA,1.37,NA,NA,NA,1.218,0.513,NA,NA,2.811,0.868,3.101,NA,0.836,2.141,1.388,NA,NA,1.182,2.828,NA,0.896,1.766,1.729,0.956,2.433,NA,NA,0.653,0.833,NA,2.179,NA,NA,NA,0.987,NA,0.74,1.446,NA,1.084,0.537,2.315,3.324,0.605,1.037,3.739,5.716,1.693,5.258,2.076,1.28,1.289,1.948,0.907,1.746,1.542,2.003,3.375,0.491,11.025,1.898,2.457,1.464,0.466,0.139,4.481,2.116,1.207,1.507,2.098,0.88,1.033,0.559,NA,1.34,0.956,0.952,0.427,0.503,0.487,0.665,0.86,2.015,NA,NA,3.021,2.859,1.334,1.836,6.293,NA,NA,1.988,2.782,2.347,11.017,1.721,1.064,0.515,2.037,5.595,1.689,1.597,2.394,0.646,5.771,0.432,1.769,6.687,NA,1.417,1.844,1.565,NA,NA,1.033,1.202,1.421,0.76,1.704,3.012,0.702,2.216,2.045,1.497,1.278,3.338,0.781,0.891,0.5,0.809,NA,0.58,0.595,0.688,2.514,1.341,1.324,NA,0.366,0.422,0.812,0.833,1.356,0.527,0.387,1.858,0.577,3.034,2.848,1.517,0.941,2.125,4.075,0.615,0.639,9.478,2.175,3.735,6.58,0.725,NA,2.118,2.48,NA,6.892,1.484,0.672,2.11,2.144,3.229,5.78,3.193,1.138,0.83,1.095,3.762,2.478,1.401,4.053,3.084,2.132,2.404,1.093,7.148,0.483,2.068,4.223,0.42,2.041,1.577,1.424,5.559,2.276,NA,1.575,0.725,NA,8.076,8.374,2.842,3.76,NA,1.751,2.754,NA,0.546,NA,NA,1.13,2.996,NA,0.952,NA,1.268,0.525,1.221,0.853,0.798,NA,NA,0.399,NA,3.324,0.399,0.932,1.476,1.836,2.54,0.836,1.413,0.641,1.302,1.091,0.731,1.514,0.571,NA,NA,0.584,1.078,0.585,2.396,3.245,NA,NA,1.796,1.089,2.012,0.401,NA,NA,NA,1.173,1.331,0.809,0.432,NA,NA,1.721,1.525,1.792,NA,0.777,0.907,1.214,1.198,2.875,1.925,1.497,1.832,0.572,NA,1.924,1.667,NA,3.064,1.472,1.255,NA,2.557,1.252,1.341,0.893,NA,1.028,1.353,NA,2.263,4.311,NA,2.52,2.621,NA,1.883,2.068,NA,NA,NA,2.818,1.147,NA,0.621,2.373,1.286,3.279,NA,1.537,1.733,2.606,4.034,1.852,1.094,3.156,1.615,2.006,0.807,3.264
1,alpha_2,1.566,2.343,0.432,NA,1.188,0.83,NA,1.201,NA,1.302,1.663,0.399,2.514,2.612,0.933,0.861,0.565,2.317,NA,NA,1.653,0.458,0.533,NA,0.784,0.503,NA,3.291,2.134,1.612,1.462,3.875,NA,NA,1.021,5.545,NA,2.951,0.532,0.756,0.581,6.791,NA,0.488,2.197,NA,4.834,NA,0.642,0.526,3.553,0.706,1.366,1.107,0.43,4.601,1.142,0.56,1.343,2.661,1.17,NA,1.843,0.634,0.9,0.826,NA,1.898,NA,NA,1.811,2.547,0.779,2.02,2.086,1.262,NA,2.041,1.228,1.301,0.537,NA,NA,0.296,2.228,0.645,1.028,0.662,1.397,9.397,1.296,2.535,1.423,0.916,NA,NA,5.336,4.938,NA,1.518,2.203,1.037,1.287,1.555,0.855,0.608,0.471,0.87,1.116,0.348,0.788,0.397,2.497,5.523,2.305,2.838,5.262,2.669,0.828,3.389,NA,NA,0.849,0.608,NA,NA,0.318,NA,0.538,1.465,1.5,NA,1.463,0.445,NA,NA,2.054,NA,1.271,0.476,0.885,0.603,1.436,0.441,0.285,0.803,NA,1.809,0.892,NA,0.922,2.108,2.8,2.811,1.292,1.224,2.171,2.028,2.739,NA,1.241,NA,0.596,0.953,0.79,1.047,0.332,5.068,1.881,0.888,0.437,0.578,NA,0.988,0.456,1.755,NA,NA,3.737,0.406,0.611,1.807,1.559,0.209,NA,1.148,NA,NA,1.999,NA,NA,NA,0.875,NA,NA,NA,NA,1.017,0.406,1.054,NA,0.903,0.99,0.838,1.535,0.94,NA,NA,1.392,1.703,NA,5.432,0.754,0.917,0.831,0.957,0.616,0.708,0.787,0.818,NA,NA,0.628,NA,0.375,1.147,1.381,12.346,5.831,3.596,7.899,1.033,1.033,1.132,NA,2.091,NA,1.422,0.707,0.642,1.159,0.566,NA,NA,6.001,NA,2.751,1.126,0.762,8.471,0.891,1.257,2.223,0.714,8.278,1.126,0.892,1.686,0.499,0.585,1.112,1.229,NA,1.679,0.873,2.612,NA,0.333,NA,NA,NA,0.734,NA,NA,1.045,1.241,NA,1.852,NA,NA,NA,NA,0.354,2.467,0.839,NA,NA,6.3,2.444,4.913,NA,0.654,0.538,NA,2.248,0.424,9.872,1.039,0.351,NA,1.352,1.956,NA,NA,2.823,2.804,1.42,0.731,2.343,2.14,NA,0.366,NA,NA,NA,0.815,NA,NA,0.4,1.686,NA,NA,NA,6.803,4.322,1.246,2.385,1.935,3.128,2.88,5.687,1.7,1.863,2.376,1.73,1.453,3.751,2.427,4.638,1.871,2.404,2.882,7.011,4.439,0.27,1.443,1.308,2.546,1.48,1.797,1.116,1.094,3.195,0.996,NA,1.135,0.87,1.485,0.905,6.029,NA,1.9,0.441,0.774,1.188,NA,NA,NA,0.809,3.171,0.804,0.982,1.029,5.684,0.587,NA,NA,NA,0.948,0.655,NA,0.841,NA,7.851,0.728,1.698,NA,0.505,NA,0.459,0.88,1.386,NA,0.825,1.412,2.296,1.352,1.925,NA,NA,0.906,NA,1.417,1.099,NA,1.046,0.412,NA,0.675,NA,0.528,NA,0.758,NA,0.411,1.521,NA,1.829,NA,NA,0.205,2.484,NA,1.154,9.6,1.83,0.363,1.355,NA,0.748,0.959,0.359,1.394,2.372,0.63,1.667,0.474,0.525,0.485,NA,2.696,0.371,0.376,NA,NA,4.312,0.496,0.995,2.194,NA,0.47,0.445,2.984,1.265,0.805,1.901,2.021,NA,1.5,0.63,0.663,4.185,1.757,0.623,1.164,3.083,1.466,NA,NA,NA,1.838,0.835,1.893,NA,NA,2.486,2.317,2.314,NA,1.051,0.906,6.044,1.992,1.194,0.431,0.782,1.058,1.271,0.2,NA,1.202,1.051,2.238,0.542,NA,1.979,0.405,1.458,1.311,NA,NA,0.625,0.85,1.289,1.413,0.283,NA,1.1,0.59,1.395,3.682,0.643,3.07,0.481,2.37,0.905,1.621,1.12,1.94,3.474,2.5,3.497,3.619,2.789,5.903,1.341,1.168,2.041,4.198,4.039,2.599,1.17,3.204,4.498,1.278,2.252,NA,4.453,0.626,2.652,1.821,1.734,1.252,1.264,1.029,1.066,NA,NA,NA,1.359,0.446,NA,NA,NA,1.361,NA,NA,NA,0.552,0.67,NA,NA,1.227,0.498,2.542,NA,1.361,1.895,0.731,NA,NA,1.243,1.201,NA,0.632,0.639,1.173,1.046,1.454,NA,0.367,1.054,NA,0.475,1.286,NA,0.349,NA,0.692,NA,0.446,1.497,0.489,0.692,0.337,1.753,1.723,0.371,1.721,4.086,4.25,1.401,7.52,1.125,0.831,0.65,0.792,0.694,0.879,0.718,1.581,3.344,0.732,0.571,1.647,2.399,0.966,1.101,1.236,2.967,1.559,0.841,0.826,1.133,1.056,0.587,0.864,1.062,0.894,0.804,1.406,0.743,0.868,0.588,1.399,0.599,1.446,0.687,0.999,2.884,2.197,1.694,1.957,5.494,NA,NA,0.924,1.44,0.786,7.739,0.627,0.845,1.284,1.363,3.678,1.399,1.475,2.667,0.811,10.964,1.304,2.255,2.978,NA,1.196,1.09,1.011,NA,0.518,0.364,0.654,1.469,0.635,0.765,1.295,0.821,6.427,1.376,0.984,1.072,1.673,1.098,0.866,0.429,0.474,0.265,1.557,1.361,0.964,1.237,0.526,1.315,1.273,0.49,0.505,0.588,0.551,1.038,0.703,0.624,1.144,2.131,3.016,1.577,1.413,0.69,2.124,2.694,0.569,0.622,4.739,4.797,5.708,7.74,0.396,0.129,1.329,2.726,1.095,8.738,2.21,0.888,1.655,2.838,3.238,5.658,3.027,1.431,0.627,1.715,5.413,1.286,0.86,4.48,5.355,1.84,1.892,0.47,7.887,0.334,0.888,4.794,0.58,1.138,1.099,1.145,3.924,1.432,1.261,2.895,1.422,NA,5.68,4.306,0.304,4.022,NA,2.286,3.128,2.363,0.747,NA,NA,0.832,1.587,NA,0.383,NA,1.543,NA,0.905,0.502,0.779,NA,NA,NA,0.671,4.006,0.579,0.811,1.175,1.47,2.358,0.783,0.735,0.454,0.818,1.281,0.845,3.487,0.646,NA,0.497,0.408,0.728,0.971,1.979,2.058,NA,NA,1.39,0.813,1.629,0.515,NA,NA,NA,0.783,1.553,1.047,0.448,NA,NA,1.202,2.035,1.221,NA,1.141,2.389,0.521,0.684,0.992,1.058,1.24,0.861,0.639,NA,1.208,1.182,2.059,3.128,0.894,1.086,NA,1.563,1.045,0.683,0.714,NA,1.5,0.493,NA,1.285,2.041,NA,1.135,1.083,NA,1.158,2.008,NA,NA,0.538,0.734,1.096,NA,1.297,0.951,1.942,3.139,NA,0.865,1.407,1.739,4.003,1.492,0.698,3.317,3.776,1.383,0.673,2.094
